respondent_id,task_presentation_order,task1_alternative_position_order,task2_alternative_position_order,task3_alternative_position_order,task4_alternative_position_order,task5_alternative_position_order,task6_alternative_position_order,task7_alternative_position_order,task8_alternative_position_order,task9_alternative_position_order
R001,"1,9,2,8,5,4,3,7,6","1,2,3","1,2,3","2,3,1","3,2,1","1,2,3","2,1,3","1,2,3","2,1,3","1,2,3"
R002,"3,6,5,9,2,7,1,8,4","1,3,2","2,1,3","1,2,3","3,1,2","2,3,1","1,2,3","3,2,1","2,1,3","1,3,2"
R003,"8,1,9,6,5,3,4,2,7","1,3,2","1,3,2","3,2,1","3,2,1","2,1,3","2,3,1","3,2,1","1,2,3","1,2,3"
R004,"1,7,2,4,8,3,9,6,5","3,1,2","3,1,2","2,3,1","1,3,2","3,2,1","1,2,3","2,3,1","2,1,3","2,1,3"
R005,"4,7,9,2,1,5,6,8,3","3,1,2","1,3,2","3,1,2","1,2,3","1,3,2","3,1,2","1,2,3","3,2,1","1,2,3"
R006,"8,2,3,5,7,4,1,9,6","2,1,3","1,3,2","3,1,2","3,1,2","3,2,1","2,1,3","2,1,3","3,2,1","1,3,2"
R007,"2,4,7,5,8,6,3,1,9","1,3,2","1,2,3","3,1,2","1,3,2","1,3,2","2,1,3","3,1,2","3,1,2","1,2,3"
R008,"2,6,5,3,9,1,8,7,4","2,3,1","3,1,2","2,1,3","1,2,3","2,1,3","1,2,3","2,3,1","2,3,1","1,2,3"
R009,"1,5,8,2,4,6,7,9,3","2,1,3","2,1,3","1,3,2","2,1,3","2,1,3","3,2,1","3,1,2","1,3,2","1,3,2"
R010,"1,8,2,6,4,7,3,5,9","1,2,3","2,1,3","1,2,3","1,2,3","1,3,2","2,1,3","2,1,3","1,2,3","3,2,1"
R011,"4,2,6,1,3,8,5,7,9","3,1,2","2,1,3","3,2,1","1,3,2","3,1,2","1,2,3","1,3,2","1,3,2","1,3,2"
R012,"9,2,1,8,5,7,6,3,4","3,2,1","1,2,3","3,2,1","2,1,3","1,3,2","1,2,3","3,1,2","2,1,3","2,3,1"
R013,"3,4,5,2,1,6,8,9,7","1,3,2","1,2,3","3,2,1","1,2,3","2,1,3","2,1,3","2,1,3","3,1,2","2,1,3"
R014,"7,6,9,3,4,1,8,5,2","2,3,1","3,1,2","2,1,3","1,2,3","2,1,3","3,2,1","1,3,2","3,2,1","1,2,3"
R015,"3,8,7,6,9,2,1,5,4","2,1,3","2,1,3","2,1,3","3,2,1","2,1,3","3,1,2","1,2,3","3,2,1","1,2,3"
R016,"3,6,8,9,1,2,5,4,7","3,2,1","1,2,3","2,1,3","3,2,1","1,3,2","1,3,2","3,1,2","2,3,1","1,3,2"
R017,"1,6,3,4,8,9,5,7,2","2,1,3","1,2,3","2,3,1","1,3,2","2,3,1","3,2,1","3,2,1","1,3,2","1,2,3"
R018,"6,9,8,7,5,4,2,3,1","3,2,1","2,3,1","2,3,1","3,2,1","2,1,3","2,1,3","3,1,2","3,2,1","1,2,3"
R019,"4,9,2,3,8,6,1,5,7","2,1,3","3,1,2","2,1,3","3,1,2","2,3,1","1,3,2","3,1,2","1,2,3","2,1,3"
R020,"4,9,1,7,3,2,8,6,5","2,3,1","3,1,2","2,3,1","3,1,2","3,1,2","1,3,2","3,2,1","3,1,2","1,3,2"
R021,"3,5,6,8,2,4,7,9,1","2,3,1","3,1,2","2,1,3","1,3,2","2,3,1","1,2,3","2,3,1","2,1,3","1,3,2"
R022,"3,2,6,9,4,1,7,5,8","3,2,1","3,2,1","2,3,1","3,1,2","2,3,1","2,3,1","3,2,1","3,2,1","2,3,1"
R023,"2,5,3,7,4,1,9,8,6","3,2,1","2,1,3","3,1,2","3,1,2","1,2,3","3,2,1","2,3,1","1,3,2","3,2,1"
R024,"8,4,7,2,5,6,3,9,1","3,1,2","3,2,1","3,2,1","2,3,1","2,3,1","1,2,3","3,2,1","1,2,3","1,3,2"
R025,"3,7,8,5,6,9,2,4,1","3,1,2","2,3,1","1,3,2","2,1,3","1,2,3","1,3,2","3,1,2","3,1,2","1,2,3"
R026,"2,9,3,4,6,8,5,7,1","3,1,2","2,1,3","3,2,1","3,1,2","2,3,1","2,1,3","3,2,1","2,3,1","2,1,3"
R027,"9,7,1,3,6,5,8,4,2","3,1,2","2,1,3","1,2,3","3,2,1","1,3,2","2,3,1","2,3,1","2,3,1","3,1,2"
R028,"4,3,6,5,8,1,7,2,9","3,2,1","3,1,2","2,1,3","2,3,1","1,3,2","2,3,1","2,1,3","3,1,2","2,3,1"
R029,"7,3,6,8,2,1,5,4,9","3,2,1","3,2,1","2,1,3","2,3,1","3,2,1","1,3,2","2,1,3","1,2,3","1,2,3"
R030,"7,4,5,9,6,3,2,8,1","1,2,3","3,2,1","3,1,2","2,3,1","3,2,1","1,2,3","2,1,3","3,2,1","2,3,1"
R031,"4,8,1,5,2,7,6,3,9","3,2,1","3,2,1","3,2,1","2,3,1","3,1,2","1,3,2","2,3,1","3,2,1","2,3,1"
R032,"7,4,3,2,8,1,6,9,5","2,1,3","2,1,3","2,1,3","2,1,3","1,3,2","1,3,2","1,2,3","3,2,1","3,2,1"
R033,"2,6,7,8,1,5,9,3,4","2,3,1","1,2,3","3,1,2","1,2,3","3,2,1","2,1,3","1,3,2","2,3,1","2,3,1"
R034,"6,2,7,9,8,5,1,3,4","1,3,2","1,2,3","1,2,3","2,1,3","3,1,2","3,1,2","1,3,2","1,2,3","1,2,3"
R035,"1,5,2,8,7,4,9,6,3","2,1,3","1,3,2","3,1,2","3,2,1","2,1,3","3,2,1","1,2,3","2,1,3","1,3,2"
R036,"5,1,4,3,7,8,9,6,2","3,1,2","1,3,2","3,2,1","2,3,1","1,3,2","3,1,2","3,1,2","1,3,2","2,3,1"
R037,"6,3,5,9,8,7,2,1,4","3,1,2","3,1,2","3,2,1","2,3,1","1,3,2","1,3,2","1,3,2","1,3,2","2,1,3"
R038,"1,6,5,2,4,7,9,3,8","1,2,3","1,3,2","2,3,1","3,1,2","1,3,2","3,1,2","3,2,1","3,1,2","2,3,1"
R039,"4,6,3,2,7,1,8,5,9","3,1,2","3,2,1","2,3,1","2,3,1","1,2,3","3,1,2","2,3,1","1,3,2","1,2,3"
R040,"2,8,9,6,1,4,7,3,5","3,1,2","1,3,2","2,1,3","1,2,3","3,1,2","3,1,2","2,3,1","1,3,2","3,1,2"
R041,"1,4,9,5,8,2,6,3,7","3,1,2","3,2,1","3,1,2","1,2,3","2,3,1","1,3,2","3,2,1","1,2,3","1,2,3"
R042,"2,3,9,4,8,1,5,6,7","2,3,1","2,3,1","2,3,1","3,2,1","3,1,2","2,1,3","1,3,2","2,3,1","2,1,3"
R043,"9,1,7,6,8,4,5,3,2","3,1,2","3,2,1","3,2,1","3,2,1","2,1,3","3,1,2","3,2,1","1,2,3","2,1,3"
R044,"1,3,5,7,4,6,9,2,8","2,3,1","1,2,3","2,3,1","3,2,1","1,3,2","1,2,3","2,3,1","3,1,2","1,3,2"
R045,"9,5,2,4,7,3,1,8,6","3,1,2","3,1,2","3,2,1","2,3,1","2,1,3","1,2,3","1,2,3","2,3,1","1,2,3"
R046,"2,9,4,5,8,6,3,7,1","2,1,3","2,3,1","2,1,3","1,2,3","2,3,1","1,3,2","1,3,2","2,1,3","1,2,3"
R047,"7,4,2,1,9,8,3,5,6","1,2,3","2,1,3","1,3,2","1,2,3","3,2,1","3,2,1","3,1,2","3,1,2","2,3,1"
R048,"1,9,3,7,4,8,2,6,5","3,1,2","1,3,2","1,3,2","1,2,3","2,3,1","3,2,1","3,2,1","1,3,2","1,2,3"
R049,"7,6,8,1,9,3,4,2,5","2,3,1","3,2,1","3,1,2","3,2,1","2,1,3","2,1,3","1,3,2","2,1,3","3,1,2"
R050,"1,2,5,8,7,6,4,9,3","3,2,1","1,2,3","1,3,2","1,2,3","3,1,2","2,1,3","3,1,2","3,1,2","3,2,1"
R051,"7,9,1,8,2,4,3,6,5","2,3,1","2,3,1","3,2,1","3,2,1","3,2,1","2,3,1","1,2,3","1,2,3","2,3,1"
R052,"3,2,9,5,1,4,7,8,6","2,3,1","1,2,3","3,2,1","3,1,2","1,2,3","3,2,1","2,1,3","1,3,2","2,1,3"
R053,"7,3,8,5,4,2,9,1,6","3,1,2","2,3,1","2,1,3","1,2,3","1,2,3","3,2,1","3,1,2","3,2,1","1,3,2"
R054,"7,6,9,1,5,8,2,3,4","3,2,1","1,2,3","2,1,3","1,3,2","1,2,3","2,3,1","1,2,3","3,2,1","1,3,2"
R055,"3,6,7,1,2,5,8,4,9","2,3,1","1,3,2","3,1,2","3,2,1","1,3,2","2,3,1","1,3,2","3,1,2","3,1,2"
R056,"6,4,7,8,2,5,3,9,1","2,3,1","3,1,2","1,3,2","2,3,1","1,2,3","1,2,3","1,2,3","3,2,1","2,3,1"
R057,"5,4,6,1,7,9,2,8,3","2,3,1","3,2,1","1,3,2","3,1,2","1,3,2","1,2,3","3,1,2","3,1,2","2,3,1"
R058,"2,5,8,9,7,6,3,4,1","2,3,1","3,2,1","3,2,1","2,3,1","2,3,1","3,1,2","2,1,3","2,1,3","1,3,2"
R059,"6,3,7,4,1,2,5,9,8","2,1,3","2,1,3","3,2,1","1,2,3","3,1,2","1,3,2","1,3,2","3,2,1","3,1,2"
R060,"2,9,6,7,8,4,5,1,3","1,3,2","3,1,2","1,2,3","3,2,1","2,3,1","1,3,2","1,2,3","3,2,1","3,2,1"
R061,"8,2,9,5,4,3,6,1,7","2,3,1","1,3,2","1,3,2","1,2,3","3,2,1","1,3,2","3,2,1","2,1,3","1,3,2"
